GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
email,com.getordecorreo,Contacto,0,43,0,0,0,18,0,9,0,9
email,com.getordecorreo,FiltroRemitente,0,70,4,8,0,14,4,4,0,2
email,com.getordecorreo,Usuario,4,119,0,4,2,25,1,11,1,9
email,com.getordecorreo,FiltroAsuntoPalabraClave,0,37,1,7,0,8,1,6,0,3
email,com.getordecorreo,SistemaDeCorreo,1,37,1,3,1,10,1,5,0,4
email,com.getordecorreo,BandejaDeEnviados,0,17,0,0,0,6,0,3,0,3
email,com.getordecorreo,BandejaDeEntrada,0,17,0,0,0,6,0,3,0,3
email,com.getordecorreo,Correo,0,40,0,0,0,15,0,8,0,8
email,com.getordecorreo,FiltroFecha,0,45,0,8,0,11,0,6,0,2
email,com.getordecorreo,FiltroUCPPrioridad,3,54,2,8,1,12,3,5,1,2
email,com.getordecorreo,FiltroSpam,0,51,1,5,0,12,1,6,0,4
